                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 0.8167,                 0.4445,                0.93061,                0.99369,                0.47165,                0.93928,                0.89789,                0.88129,                0.92999,                0.70767,                0.86522,                0.46209,                0.98424,                0.94927,                0.45979,                0.99538,             0.00085803,             0.00085803,             0.00085803
                     26,                0.80679,                0.43981,                0.92475,                0.98272,                0.46134,                0.93279,                0.88644,                0.89564,                0.93804,                0.71787,                0.85035,                0.44624,                0.97357,                0.94027,                0.44022,                0.98745,             0.00084703,             0.00084703,             0.00084703
                     27,                0.80688,                0.43899,                0.92394,                0.98032,                0.45954,                0.93159,                 0.9101,                0.88059,                0.93693,                 0.7179,                0.85028,                 0.4457,                0.97907,                0.93074,                0.43592,                0.98898,             0.00083603,             0.00083603,             0.00083603
                     28,                0.79178,                0.43231,                0.92332,                0.96745,                0.45382,                0.92973,                0.91499,                0.88065,                0.93387,                0.72337,                0.83382,                0.44014,                0.97691,                0.91679,                0.43785,                0.98679,             0.00082503,             0.00082503,             0.00082503
                     29,                  0.778,                0.42061,                0.91943,                0.95368,                0.43866,                0.92637,                0.91685,                0.88643,                0.94147,                0.72766,                0.83307,                0.43787,                0.97573,                0.91323,                0.43924,                0.98424,             0.00081403,             0.00081403,             0.00081403
                     30,                0.77579,                0.41964,                0.91598,                0.95108,                0.44046,                0.92357,                0.90767,                0.89396,                0.93708,                0.72653,                0.83766,                0.44533,                0.96331,                0.92001,                0.44429,                 0.9735,             0.00080303,             0.00080303,             0.00080303
                     31,                0.76506,                0.41148,                0.91129,                0.93462,                0.42811,                0.91862,                0.89514,                0.88991,                0.93584,                0.72724,                0.82833,                 0.4368,                0.97209,                0.91027,                 0.4446,                0.98168,             0.00079203,             0.00079203,             0.00079203
                     32,                0.76073,                0.40895,                 0.9115,                0.93262,                0.42479,                0.91817,                0.92919,                0.89212,                0.94236,                0.73468,                0.82305,                0.42706,                0.97074,                0.91066,                0.42531,                0.98223,             0.00078103,             0.00078103,             0.00078103
                     33,                0.75398,                0.40516,                0.90532,                0.92706,                0.42096,                0.91298,                0.92401,                0.89544,                0.94278,                 0.7376,                0.80951,                0.42249,                0.96189,                0.89348,                0.41836,                0.97252,             0.00077003,             0.00077003,             0.00077003
                     34,                0.74637,                0.40178,                0.90235,                0.91724,                0.41714,                0.90985,                0.91923,                0.88836,                0.94084,                0.74079,                0.81251,                0.43149,                0.96061,                0.89446,                0.43383,                0.97135,             0.00075904,             0.00075904,             0.00075904
                     35,                0.73995,                0.39858,                0.90245,                0.90988,                0.41668,                0.90913,                0.92482,                0.89989,                0.94145,                 0.7384,                0.81075,                0.43052,                0.96654,                0.88841,                0.43594,                0.97323,             0.00074804,             0.00074804,             0.00074804
                     36,                0.73253,                0.39528,                0.90008,                0.89803,                0.40778,                0.90769,                0.88552,                0.90667,                0.93962,                0.73462,                0.80231,                0.42543,                0.96284,                0.88387,                0.43356,                0.97373,             0.00073704,             0.00073704,             0.00073704
                     37,                 0.7192,                 0.3861,                0.89523,                0.88294,                0.39743,                0.90193,                0.93337,                0.87937,                0.94403,                0.74441,                 0.7954,                0.41805,                0.95988,                0.87692,                0.42649,                0.96835,             0.00072604,             0.00072604,             0.00072604
                     38,                0.71631,                 0.3831,                0.89531,                0.87847,                0.39151,                0.90131,                0.91428,                0.89967,                0.94519,                0.75101,                0.79088,                0.42252,                0.96004,                0.86895,                0.43385,                0.96956,             0.00071504,             0.00071504,             0.00071504
                     39,                0.71269,                0.38142,                0.89647,                0.87438,                0.38857,                0.90269,                0.92866,                 0.8887,                0.94579,                0.75045,                0.79037,                0.42655,                0.96363,                0.86826,                0.43035,                0.97424,             0.00070404,             0.00070404,             0.00070404
                     40,                0.70332,                0.37711,                0.89361,                0.86499,                0.38492,                0.89983,                0.92139,                0.89926,                0.94708,                0.75813,                0.78089,                0.41203,                0.95857,                0.86077,                0.42498,                0.96739,             0.00069304,             0.00069304,             0.00069304
                     41,                0.69828,                0.37428,                0.88936,                0.86113,                0.38326,                 0.8959,                0.91662,                0.91091,                0.94689,                0.75401,                0.77278,                0.41195,                0.95122,                0.85013,                0.42149,                0.96097,             0.00068204,             0.00068204,             0.00068204
                     42,                0.68911,                0.36912,                0.88874,                0.85048,                0.37777,                0.89598,                0.92413,                0.89758,                0.94574,                 0.7558,                 0.7745,                0.41232,                0.96023,                0.85245,                0.42243,                0.96962,             0.00067104,             0.00067104,             0.00067104
                     43,                0.68473,                 0.3651,                0.88937,                0.84363,                0.37167,                0.89552,                0.91462,                0.89551,                0.94119,                0.75385,                0.77077,                0.40995,                0.96094,                0.84477,                0.42106,                0.96832,             0.00066005,             0.00066005,             0.00066005
                     44,                0.67887,                0.36506,                0.88844,                0.83892,                0.37268,                0.89508,                0.91921,                0.91476,                0.94742,                0.76229,                  0.767,                0.40947,                0.95955,                0.84267,                0.42032,                0.96885,             0.00064905,             0.00064905,             0.00064905
                     45,                 0.6685,                0.35502,                0.88237,                0.82735,                0.36034,                0.88855,                0.92398,                0.89932,                0.94459,                0.76187,                0.75913,                0.40809,                0.95708,                0.83744,                0.42475,                0.96595,             0.00063805,             0.00063805,             0.00063805
                     46,                0.66284,                0.35429,                0.88312,                 0.8192,                0.35681,                0.88985,                0.92648,                0.90258,                0.94516,                0.76373,                0.75152,                0.40143,                0.95689,                0.82451,                0.41361,                 0.9654,             0.00062705,             0.00062705,             0.00062705
